"Hi there, My name is daniel walter, I am a native english speaker From Brownsville Texas, i'm an english teacher and i have a degree in educations and graduated from Siena Heights University in Michigan.","I have taught for 2 years as an ESL online english tutor Preparing students for english tests such as TOEFL, IELTS, SAT, and CEP,  i also teach English business conversations, Aviation classes, general conversations, grammars, vocabularies and fluency.","I love to teach adapting to the pace of my students  so we can both obtain a positive result at the end of every session, i love to teach using body language or sign demonstrations, games, and quick methods that help my students faster and i love using interest of my students to make the class entertaining and lovable.",https://www.italki.com/teacher/6313078/english,4.9,24 LESSONS,12 STUDENTS,24,11,4,7,"[305, 301, 301, 301]","[31, 35, 35, 35]","[0, 0, 0, 0]"
"What I can help you with:
improving your pronunciation and general fluency, expanding your vocabulary, and being more comfortable with the natural flow of English. This includes preparing for language tests like TOEFL and IELTS. We can improve your test scores together! 

I know from experience how difficult it can be to gain confidence in your speaking skills so I will do my best to help you with that. 

My name is Cait and I am a college student in the United States. I also enjoy reading novels, singing, and playing the piano. I have traveled widely and I love experiencing different cultures.  I work best with enthusiastic and pro-active students.","I have helped several students prepare for IELTS and am very familiar with the test structure and what the examiners are looking for. 

I studied French for two years in high school and am bilingual in both English and Tagalog. I have prior experience as a volunteer language tutor, teaching English and Social Studies to middle school and high school students. I have also peer tutored students in AP English.","My lessons are tailored to each student so we can start at whatever level you are comfortable with. During the first lesson, we can discuss your expectations and your learning goals. I like to teach through conversation so the student can practice the natural flow of English. 

Please let me know in advance if there is anything you would like to discuss. 

I also like to use creative materials like videos, movies, and music if it would help your understanding, and it makes for a more fun lesson! I can provide you with a written document of the things we have discussed during the class so that you can review it.",https://www.italki.com/teacher/5309772/english,5.0,909 LESSONS,287 STUDENTS,909,25,33,26,"[108, 140, 77, 77]","[50, 45, 0, 0]","[10, 4, 0, 0]"
"I am a hardworking, enthusiastic and entertaining person.I believe that I bring a lot of passion to every job I do.I'm looking for a new challenge and better way to express myself.","I am a confident person.I try to do the best that I can to make my lessons as real and relevant as possible.I am always learning new and better ways to present materials.my strengths are, disciplined, prepared, friendly, with students and motivator.","I always make sure to break down the hardest of concepts to the easiest one so that even kids can understand.this is an effective and powerful technique to ensure learn rapidly and retain all the concepts and information.
I encourage critical thinking and lively discussion by asking students to respond to challenging questions.students learn to have opinions and to back them up with facts and data.I believe roleplaying is an opportunity for students to grapple with material in simulated real world environments.so, making a roleplay with my student is one of my teaching styles.after each lesson I give constructive feedback and make error corrections.I like to answer my students questions..",https://www.italki.com/teacher/6982216/english,5.0,298 LESSONS,54 STUDENTS,298,12,113,116,"[139, 139, 139, 139]","[64, 64, 64, 64]","[14, 14, 14, 14]"
"¡Hola! Mi nombre es Karen y soy peruana. Vivo en Lima donde el español es bastante estándar. Al ser comunicadora de profesión me relaciono muy bien con las personas y me gusta conocer sobre sus culturas. Hablo inglés y francés, soy muy conversadora y creo que mi experiencia puede ser de gran utilidad para mejorar tu español.

Hello! My name is Karen and I am Peruvian. I live in Lima where Spanish is quite standard. I interact very well with people and I like to know about their cultures since I studied Communications. I speak English and French, I am very talkative and I think that my experience can be very useful to improve your Spanish.","Me agrada mucho interactuar con personas y aprender de ellas. Además, he enseñado Español a quienes han estado interesados en mi cultura. En mi encontrarán a alguien que les resolverá todas sus preguntas para seguir mejorando su Español.

I like interacting with people and learn from them. I have taught Spanish to those who have been interested in my culture. In me you will find someone who can solve all your questions to continue improving your Spanish.

J'aime interagir avec les gens et apprendre d'eux. J'ai enseigné l'espagnol à ceux qui se sont intéressés à ma culture. En moi, vous trouverez quelqu'un qui peut résoudre toutes vos questions pour continuer à améliorer votre espagnol.","Me gusta que mis clases sean interactivas. Normalmente utilizo ejercicios de conversación donde el estudiante puede elegir un tema por adelantado. También comparto videos y artículos que pueden ser de utilidad al alumno. Y si tienen algún problema en gramática o quieren mejorar su vocabulario suelo utilizar ejercicios lúdicos. Espero se animen por mis clases.

I like that my classes are interactive. I usually use conversation exercises where the student can choose a topic in advance. I also share videos and articles that can be useful to the student. And if they have a problem in grammar or want to improve their vocabulary I usually use playful exercises.",https://www.italki.com/teacher/4773185/english,5.0,181 LESSONS,41 STUDENTS,182,5,37,64,"[172, 172, 172, 172]","[146, 146, 146, 146]","[18, 18, 18, 18]"
"Check out my Youtube for pronunciation/speaking/IELTS writing help: www.youtube.com/fluentamerican  I'm particularly interested in helping students with speaking and writing. I have experience helping students improve their fluency and pronunciation. In writing, I help students develop ideas into a logical and natural-sounding phrasing.","I have 7 years teaching students learning English. I served as an IELTS examiner for the speaking and writing tests for 3 years. I typically help students with:

*accent reduction and pronunciation (see my site www.fluentamerican.com)
*correcting essays, business letters, emails, and personal statements
*advanced grammar topics like verb tenses, passive voice, noun clauses, adverb clauses, adjective clauses, and conditionals
*general and academic speaking practice
*basic job interviews","All classes are customized to student needs. However, the basic structure is as follows:

For writing classes, we will spend the time editing a writing sample you provide (prompts and questions can be given). We will review grammar, spelling, cohesion, vocabulary and structure.

For conversation classes, we will go through a variety of topics that vary by need (academic or general). The end of the class is dedicated to corrections on mistakes from our talk and pronunciation through drills.",https://www.italki.com/teacher/2641270/english,5.0,5289 LESSONS,794 STUDENTS,5289,175,162,151,"[136, 133, 134, 132]","[0, 9, 29, 45]","[60, 54, 33, 19]"
"皆さん、こんにちは！キムと申します。ホーチミン市に滞在しているベトナム人の社会人です。日本語検定N1を持ち、交換留学生として日本に一年間住んでいました。

Hello everyone! 

I’m Kim, a BA in Japanese Studies and had 1 year exchange in Tokyo, Japan.  Personally,  I’m passionate in learning new languages and love to exchange with other cultures. That's why I hope I could help other people who might think Vietnamese is difficult, especially in terms of pronunciation. I believe that there is no language which is so hard to learn as long as you invest your dedication in the learning journey with an appropriate method.","I now have more than 2 years experience teaching Vietnamese and Japanese to foreigners as a tutor. I could organize and prepare the lesson according to each student's needs, no matter it is to reinforce their strength (grammar, writing, etc) or to improve their shortcomings (pronunciation, speaking, etc) in such a way that they feel interesting and effective.

Don't worries if you are just an absolute beginner, since I can teach in various languages that I'm using fluently, English, Chinese Mandarin and Japanese! You can also book the lesson to practice your English, Chinese Mandarin and Japanese in Vietnamese too :)","My methodologies are tailored to what works best for each students. And I believe that Less IS More and practice makes perfect.

Just keep practicing and reviewing until you actually understand the material before getting on to a new topic will be useful for you in the long-term. :) There is no need to rush through and stressful in the beginning because strong foundation helps you go further to the advanced level. Be fun and motivated!

ベトナム語を学びたい皆さんを応援したいと思います。一緒にベトナム語を勉強しましょう！

もしお問い合わせがございましたら、いつでもご連絡ください。",https://www.italki.com/teacher/4246858/english,5.0,485 LESSONS,86 STUDENTS,485,35,103,75,"[300, 307, 307, 307]","[6, 8, 19, 21]","[16, 21, 10, 8]"
"Hello, my name is Aneli and I am English and French teacher and I possess BACHELOR'S DEGREE IN ENGLISH AND FRENCH LANGUAGE . My dedication for teaching and learning new languages is endless like warm weather in summer! I consider it is important to note that I am, besides English, fluent in French, Spanish and Portuguese as well as in my native Croatian. I have many years of teaching experience in various language centers, foreign language schools and cultural institutions, where I worked with different age groups, including pre-school children, elementary and high school students and adults, which has contributed to my ability to adapt my teaching skills to students. See you soon! :)","I have many years of teaching experience in various language centers, foreign language schools and cultural institutions, where I worked with different age groups, including pre-school children, elementary and high school students and adults, which has contributed to my ability to adapt my teaching skills to students. I strongly believe that the foreign language knowledge, including both theoretical and practical use, has to be upgraded frequently I am fun but hardworking teacher and I will find all the strenghts in students that could potentially  help in studyings.","My lesson consists of four parts: listening, speaking, writing and reading. Before I start the course I always have tendency to meet the student better and incorporate his/her subject of  interests in studyings (for example if a student likes sports, I will give him/her more studying materials including that subject). VERY IMPORTANT: If you want to book a lesson but the available lessons are not suitable for your busy schedule, please contact me and I will try tu open more available hours. :)",https://www.italki.com/teacher/6989583/english,5.0,190 LESSONS,17 STUDENTS,190,29,51,56,"[96, 96, 96, 96]","[38, 38, 38, 38]","[20, 20, 20, 20]"
"【日本語】
こんにちは。日本語と英語講師の俊介です。
私は人と話すこと、聞くこと、教えることが大好きです。なのでこの仕事は私の転職だと思います！
教えること以外に好きなことは旅です。
今までにおよそ60ヵ国を旅しました。クレイジーな経験もたくさんしてきました。
興味のあるかたは是非旅について話しましょう！
【English】
Hello. My name is Shunsuke.
I am a Japanese and English language teacher.
I am positive, easygoing, and funny guy.
I love meeting new people and talking with them and also love teaching, So I feel like I was meant to be a teacher!!
Beside teaching, Traveling is my passion as well.
I always travel around the world. I have been to about 60 countries, and experienced a lot of crazy adventures.
If you love traveling too, Please let me know! I can't wait to hear your story as well!!","【日本語】
今まで日本の大手英会話スクールの講師として、子供から大人まで１年3ヶ月英語を教えていました。
その後バンクーバーとサンフランシスコの学校で子供から大人まで1年日本語を指導しておりました。
英語での説明も可能ですので初心者の方も大歓迎です。
今はオンラインで日本語を1年半ほど教えています。
420時間の日本語教師養成学校を終了し、日本語教育能力試験にも合格しました。
常に”楽しいレッスン”、そして日本語・英語が”使える”ように指導することを心がけています。
【English】
I have taught English conversation for one year and three months.
Then I moved to Vancouver and San Francisco and taught Japanese for one year.
Currently I have been teaching Japanese online for one and a half year.
I am able to teach Japanese in English as well.
I have completed the studies for the 420 hour Advanced Skills of Teaching Japanese Language Course.
Plus, I have passed the Japanese Language Teaching Competency Test.","My lessons are mainly focused on communication.
So it is a lot of fun!!!!!
In the first 5 to 10 mins, we will have a chat and I will take notes when you make mistakes.
Then we will review and learn useful words and phrases for another 5 minutes.
We are also going to learn grammar and pronunciation at the same time.
I will assign homework if needed. We can check the homework in the beginning of the next lesson.
I customize each lesson for what my students need. So we can talk about what you want to learn, practice or improve.
I am looking forward to seeing you in one of my lessons!",https://www.italki.com/teacher/5800129/english,5.0,1294 LESSONS,162 STUDENTS,1296,158,136,108,"[239, 215, 215, 215]","[44, 99, 109, 113]","[53, 22, 12, 8]"
,,,https://www.italki.com/teacher/4659772/english,5.0,105 LESSONS,28 STUDENTS,105,0,0,5,"[122, 71, 71, 71]","[6, 6, 6, 6]","[5, 0, 0, 0]"
"My name is Ali and I am from California. I have a bachelor in Psychology and Social Behavior from University of California, Irvine. I was born in Los Angeles but I come from an Iranian family and have lived and studied in Iran through my childhood and adolescence. To further my education, last year I moved to Belgium for my master degree and lived in the country for almost a year. Now I am back in the US and I plan to become a therapist and to work with patients on mental health issues.","As a community teacher I see myself improving the students' conversational and writing skills. Since I do come from a psychology background, I understand the science behind the learning process and that people have different learning styles: some may like to watch things (visual learner) and some may prefer writing. Therefore, I'd try to adjust my approach based on the students' needs as well as their expectations.","I have a plan for different levels: if a student is a beginner, I use the American English Courses to advance their language level. If the student is advanced, then I'll be working on their communication and writing skills, using the communicative approach. I will hold debates and conversations on the topics that they find interesting. I will leave them with activities and challenges that they can do outside of the session. If they are preparing for a test such as TOEFL, I will work in their writing abilities (within the test guideline) since I have had an extensive writing skills throughout my academic years.",https://www.italki.com/teacher/7214797/english,5.0,505 LESSONS,146 STUDENTS,505,0,35,278,"[86, 97, 79, 79]","[12, 57, 114, 120]","[119, 63, 24, 18]"
